Unique ID,Title,Authors,Authors-revised,Authors (Full Names),Authors (Full Names)-revised
WOS:000546677400002,Parallel algorithms for finding connected components using linear algebra,"Zhang, YZ|Azad, A|Buluc, A","Zhang, YZ|Azad, A|Buluc, A","Zhang, Yongzhe|Azad, Ariful|Buluc, Aydin","Zhang, Yongzhe|Azad, Ariful|Buluc, Aydin"
WOS:000508190300015,The parallelism motifs of genomic data analysis,"Yelick, K|Buluc, A|Awan, M|Azad, A|Brock, B|Egan, R|Ekanayake, S|Ellis, M|Georganas, E|Guidi, G|Hofmeyr, S|Selvitopi, O|Teodoropol, C|Oliker, L","Yelick, K|Buluc, A|Awan, M|Azad, A|Brock, B|Egan, R|Ekanayake, S|Ellis, M|Georganas, E|Guidi, G|Hofmeyr, S|Selvitopi, O|Teodoropol, C|Oliker, L","Yelick, Katherine|Buluc, Aydin|Awan, Muaaz|Azad, Ariful|Brock, Benjamin|Egan, Rob|Ekanayake, Saliya|Ellis, Marquita|Georganas, Evangelos|Guidi, Giulia|Hofmeyr, Steven|Selvitopi, Oguz|Teodoropol, Cristina|Oliker, Leonid","Yelick, Katherine|Buluc, Aydin|Awan, Muaaz|Azad, Ariful|Brock, Benjamin|Egan, Rob|Ekanayake, Saliya|Ellis, Marquita|Georganas, Evangelos|Guidi, Giulia|Hofmeyr, Steven|Selvitopi, Oguz|Teodoropol, Cristina|Oliker, Leonid"
WOS:000501649400011,"Performance optimization, modeling and analysis of sparse matrix-matrix products on multi-core and many-core processors","Nagasaka, Y|Matsuoka, S|Azad, A|Buluc, A","Nagasaka, Y|Matsuoka, S|Azad, A|Buluc, A","Nagasaka, Yusuke|Matsuoka, Satoshi|Azad, Ariful|Buluc, Aydin","Nagasaka, Yusuke|Matsuoka, Satoshi|Azad, Ariful|Buluc, Aydin"
WOS:000539043300001,LACC: A Linear-Algebraic Algorithm for Finding Connected Components in Distributed Memory,"Azad, A|Buluc, A","Azad, A|Buluc, A","Azad, Ariful|Buluc, Aydin","Azad, Ariful|Buluc, Aydin"
WOS:000510337700019,A community effort to create standards for evaluating tumor subclonal reconstruction,"Salcedo, A|Tarabichi, M|Espiritu, SMG|Deshwar, AG|David, M|Wilson, NM|Dentro, S|Wintersinger, JA|Liu, LY|Ko, M|Sivanandan, S|Zhang, HJ|Zhu, KY|Yang, THO|Chilton, JM|Buchanan, A|Lalansingh, CM|P'ng, C|Anghel, CV|Umar, I|Lo, B|Zou, W|Simpson, JT|Stuart, JM|Anastassiou, D|Guan, YF|Ewing, AD|Ellrott, K|Wedge, DC|Morris, Q|Van Loo, P|Boutros, PC|Jha, A|Huang, TX|Yang, TP|Peifer, M|Sahinalp, C|Malikic, S|V?zquez-Garc?a, I|Mustonen, V|Yang, HT|Lee, KR|Ji, Y|Sengupta, S|Rudewicz, J|Nikolski, M|Schaeverbeke, Q|Yuan, K|Markowetz, F|Macintyre, G|Cmero, M|Chaudhary, B|Leshchiner, I|Livitz, D|Getz, G|Loher, P|Yu, KX|Wang, WY|Zhu, HT","Salcedo, A|Tarabichi, M|Espiritu, SMG|Deshwar, AG|David, M|Wilson, NM|Dentro, S|Wintersinger, JA|Liu, LY|Ko, M|Sivanandan, S|Zhang, HJ|Zhu, KY|Yang, THO|Chilton, JM|Buchanan, A|Lalansingh, CM|P'ng, C|Anghel, CV|Umar, I|Lo, B|Zou, W|Simpson, JT|Stuart, JM|Anastassiou, D|Guan, YF|Ewing, AD|Ellrott, K|Wedge, DC|Morris, Q|Van Loo, P|Boutros, PC|Jha, A|Huang, TX|Yang, TP|Peifer, M|Sahinalp, C|Malikic, S|V?zquez-Garc?a, I|Mustonen, V|Yang, HT|Lee, KR|Ji, Y|Sengupta, S|Rudewicz, J|Nikolski, M|Schaeverbeke, Q|Yuan, K|Markowetz, F|Macintyre, G|Cmero, M|Chaudhary, B|Leshchiner, I|Livitz, D|Getz, G|Loher, P|Yu, KX|Wang, WY|Zhu, HT","Salcedo, Adriana|Tarabichi, Maxime|Espiritu, Shadrielle Melijah G.|Deshwar, Amit G.|David, Matei|Wilson, Nathan M.|Dentro, Stefan|Wintersinger, Jeff A.|Liu, Lydia Y.|Ko, Minjeong|Sivanandan, Srinivasan|Zhang, Hongjiu|Zhu, Kaiyi|Ou Yang, Tai-Hsien|Chilton, John M.|Buchanan, Alex|Lalansingh, Christopher M.|P'ng, Christine|Anghel, Catalina V.|Umar, Imaad|Lo, Bryan|Zou, William|Simpson, Jared T.|Stuart, Joshua M.|Anastassiou, Dimitris|Guan, Yuanfang|Ewing, Adam D.|Ellrott, Kyle|Wedge, David C.|Morris, Quaid|Van Loo, Peter|Boutros, Paul C.|Jha, Alokkumar|Huang, Tanxiao|Yang, Tsun-Po|Peifer, Martin|Sahinalp, Cenk|Malikic, Salem|Vazquez-Garcia, Ignacio|Mustonen, Ville|Yang, Hsih-Te|Lee, Ken-Ray|Ji, Yuan|Sengupta, Subhajit|Rudewicz, Justine|Nikolski, Macha|Schaeverbeke, Quentin|Yuan, Ke|Markowetz, Florian|Macintyre, Geoff|Cmero, Marek|Chaudhary, Belal|Leshchiner, Ignaty|Livitz, Dimitri|Getz, Gad|Loher, Phillipe|Yu, Kaixian|Wang, Wenyi|Zhu, Hongtu","Salcedo, Adriana|Tarabichi, Maxime|Espiritu, Shadrielle Melijah G.|Deshwar, Amit G.|David, Matei|Wilson, Nathan M.|Dentro, Stefan|Wintersinger, Jeff A.|Liu, Lydia Y.|Ko, Minjeong|Sivanandan, Srinivasan|Zhang, Hongjiu|Zhu, Kaiyi|Ou Yang, Tai-Hsien|Chilton, John M.|Buchanan, Alex|Lalansingh, Christopher M.|P'ng, Christine|Anghel, Catalina V.|Umar, Imaad|Lo, Bryan|Zou, William|Simpson, Jared T.|Stuart, Joshua M.|Anastassiou, Dimitris|Guan, Yuanfang|Ewing, Adam D.|Ellrott, Kyle|Wedge, David C.|Morris, Quaid|Van Loo, Peter|Boutros, Paul C.|Jha, Alokkumar|Huang, Tanxiao|Yang, Tsun-Po|Peifer, Martin|Sahinalp, Cenk|Malikic, Salem|Vazquez-Garcia, Ignacio|Mustonen, Ville|Yang, Hsih-Te|Lee, Ken-Ray|Ji, Yuan|Sengupta, Subhajit|Rudewicz, Justine|Nikolski, Macha|Schaeverbeke, Quentin|Yuan, Ke|Markowetz, Florian|Macintyre, Geoff|Cmero, Marek|Chaudhary, Belal|Leshchiner, Ignaty|Livitz, Dimitri|Getz, Gad|Loher, Phillipe|Yu, Kaixian|Wang, Wenyi|Zhu, Hongtu"
WOS:000461866400037,Protecting Genomic Data Privacy with Probabilistic Modeling,"Simmons, S|Berger, B|Sahinalp, C","Simmons, S|Berger, B|Sahinalp, C","Simmons, Sean|Berger, Bonnie|Sahinalp, Cenk","Simmons, Sean|Berger, Bonnie|Sahinalp, Cenk"
WOS:000438743900001,Preface: Selected Articles from RECOMB 2017,"Sahinalp, C","Sahinalp, C","Sahinalp, Cenk","Sahinalp, Cenk"
WOS:000434283300011,Ultra High-Dimensional Nonlinear Feature Selection for Big Biological Data,"Yamada, M|Tang, JL|Lugo-Martinez, J|Hodzic, E|Shrestha, R|Saha, A|Ouyang, H|Yin, DW|Mamitsuka, H|Sahinalp, C|Radivojac, P|Menczer, F|Chang, Y","Yamada, M|Tang, JL|Lugo-Martinez, J|Hodzic, E|Shrestha, R|Saha, A|Ouyang, H|Yin, DW|Mamitsuka, H|Sahinalp, C|Radivojac, P|Menczer, F|Chang, Y","Yamada, Makoto|Tang, Jiliang|Lugo-Martinez, Jose|Hodzic, Ermin|Shrestha, Raunak|Saha, Avishek|Ouyang, Hua|Yin, Dawei|Mamitsuka, Hiroshi|Sahinalp, Cenk|Radivojac, Predrag|Menczer, Filippo|Chang, Yi","Yamada, Makoto|Tang, Jiliang|Lugo-Martinez, Jose|Hodzic, Ermin|Shrestha, Raunak|Saha, Avishek|Ouyang, Hua|Yin, Dawei|Mamitsuka, Hiroshi|Sahinalp, Cenk|Radivojac, Predrag|Menczer, Filippo|Chang, Yi"
WOS:000433621000009,Analysis of the androgen receptor-regulated lncRNA landscape identifies a role for ARLNC1 in prostate cancer progression,"Zhang, YJ|Pitchiaya, S|Cieslik, M|Niknafs, YS|Tien, JCY|Hosono, Y|Iyer, MK|Yazdani, S|Subramaniam, S|Shukla, SK|Jiang, X|Wang, LS|Liu, TY|Uhl, M|Gawronski, AR|Qiao, YY|Xiao, LB|Dhanasekaran, SM|Juckette, KM|Kunju, LP|Cao, XH|Patel, U|Batish, M|Shukla, GC|Paulsen, MT|Ljungman, M|Jiang, H|Mehra, R|Backofen, R|Sahinalp, CS|Freier, SM|Watt, AT|Guo, SL|Wei, JT|Feng, FY|Malik, R|Chinnaiyan, AM","Zhang, YJ|Pitchiaya, S|Cieslik, M|Niknafs, YS|Tien, JCY|Hosono, Y|Iyer, MK|Yazdani, S|Subramaniam, S|Shukla, SK|Jiang, X|Wang, LS|Liu, TY|Uhl, M|Gawronski, AR|Qiao, YY|Xiao, LB|Dhanasekaran, SM|Juckette, KM|Kunju, LP|Cao, XH|Patel, U|Batish, M|Shukla, GC|Paulsen, MT|Ljungman, M|Jiang, H|Mehra, R|Backofen, R|Sahinalp, CS|Freier, SM|Watt, AT|Guo, SL|Wei, JT|Feng, FY|Malik, R|Chinnaiyan, AM","Zhang, Yajia|Pitchiaya, Sethuramasundaram|Cieslik, Marcin|Niknafs, Yashar S.|Tien, Jean C. -Y.|Hosono, Yasuyuki|Iyer, Matthew K.|Yazdani, Sahr|Subramaniam, Shruthi|Shukla, Sudhanshu K.|Jiang, Xia|Wang, Lisha|Liu, Tzu-Ying|Uhl, Michael|Gawronski, Alexander R.|Qiao, Yuanyuan|Xiao, Lanbo|Dhanasekaran, Saravana M.|Juckette, Kristin M.|Kunju, Lakshmi P.|Cao, Xuhong|Patel, Utsav|Batish, Mona|Shukla, Girish C.|Paulsen, Michelle T.|Ljungman, Mats|Jiang, Hui|Mehra, Rohit|Backofen, Rolf|Sahinalp, Cenk S.|Freier, Susan M.|Watt, Andrew T.|Guo, Shuling|Wei, John T.|Feng, Felix Y.|Malik, Rohit|Chinnaiyan, Arul M.","Zhang, Yajia|Pitchiaya, Sethuramasundaram|Cieslik, Marcin|Niknafs, Yashar S.|Tien, Jean C. -Y.|Hosono, Yasuyuki|Iyer, Matthew K.|Yazdani, Sahr|Subramaniam, Shruthi|Shukla, Sudhanshu K.|Jiang, Xia|Wang, Lisha|Liu, Tzu-Ying|Uhl, Michael|Gawronski, Alexander R.|Qiao, Yuanyuan|Xiao, Lanbo|Dhanasekaran, Saravana M.|Juckette, Kristin M.|Kunju, Lakshmi P.|Cao, Xuhong|Patel, Utsav|Batish, Mona|Shukla, Girish C.|Paulsen, Michelle T.|Ljungman, Mats|Jiang, Hui|Mehra, Rohit|Backofen, Rolf|Sahinalp, Cenk S.|Freier, Susan M.|Watt, Andrew T.|Guo, Shuling|Wei, John T.|Feng, Felix Y.|Malik, Rohit|Chinnaiyan, Arul M."
WOS:000438571600001,The long noncoding RNA landscape of neuroendocrine prostate cancer and its clinical implications,"Ramnarine, VR|Alshalalfa, M|Mo, F|Nabavi, N|Erho, N|Takhar, M|Shukin, R|Brahmbhatt, S|Gawronski, A|Kobelev, M|Nouri, M|Lin, D|Tsai, H|Lotan, TL|Karnes, RJ|Rubin, MA|Zoubeidi, A|Gleave, ME|Sahinalp, C|Wyatt, AW|Volik, SV|Beltran, H|Davicioni, E|Wang, YZ|Collins, CC","Ramnarine, VR|Alshalalfa, M|Mo, F|Nabavi, N|Erho, N|Takhar, M|Shukin, R|Brahmbhatt, S|Gawronski, A|Kobelev, M|Nouri, M|Lin, D|Tsai, H|Lotan, TL|Karnes, RJ|Rubin, MA|Zoubeidi, A|Gleave, ME|Sahinalp, C|Wyatt, AW|Volik, SV|Beltran, H|Davicioni, E|Wang, YZ|Collins, CC","Ramnarine, Varune Rohan|Alshalalfa, Mohammed|Mo, Fan|Nabavi, Noushin|Erho, Nicholas|Takhar, Mandeep|Shukin, Robert|Brahmbhatt, Sonal|Gawronski, Alexander|Kobelev, Maxim|Nouri, Mannan|Lin, Dong|Tsai, Harrison|Lotan, Tamara L.|Karnes, R. Jefferey|Rubin, Mark A.|Zoubeidi, Amina|Gleave, Martin E.|Sahinalp, Cenk|Wyatt, Alexander W.|Volik, Stanislav V.|Beltran, Himisha|Davicioni, Elai|Wang, Yuzhuo|Collins, Colin C.","Ramnarine, Varune Rohan|Alshalalfa, Mohammed|Mo, Fan|Nabavi, Noushin|Erho, Nicholas|Takhar, Mandeep|Shukin, Robert|Brahmbhatt, Sonal|Gawronski, Alexander|Kobelev, Maxim|Nouri, Mannan|Lin, Dong|Tsai, Harrison|Lotan, Tamara L.|Karnes, R. Jefferey|Rubin, Mark A.|Zoubeidi, Amina|Gleave, Martin E.|Sahinalp, Cenk|Wyatt, Alexander W.|Volik, Stanislav V.|Beltran, Himisha|Davicioni, Elai|Wang, Yuzhuo|Collins, Colin C."
